RA Dec redshift phot_index luminosity nh_values
44.447109258208 6.1616558917988 1.4755 1.89917 2.76327619055675e+44 20.41847
44.51015547705 5.9136130074325 1.25813 2.04651 1.6934573409735242e+47 20.87507
44.455362305895 5.8601591219911 0.076 1.76963 3.37481565225354e+44 20.76511
44.353083607507 6.0324099311672 0.6258 1.93425 9.806401821126566e+46 21.15264
44.602579721339 6.0469255729507 0.6758 1.77785 5.485649715417928e+46 20.51915
186.32061002637 13.040394329316 0.8758 2.33996 6.842708772718366e+43 20.66408
255.87658083759 45.679771763506 1.4756 2.3098 3.2862225537036625e+44 20.00187
211.90392912802 -27.116016629122 0.4259 2.60416 2.557136985204002e+46 21.58107
208.57499011557 63.951649910124 2.4253 3.19528 2.4685429176761014e+45 22.35001
207.8877104976 63.753416345935 1.2756 1.82601 6.706290309636749e+44 20.92909
208.38820186168 63.692983391402 0.026 3.5212 1.3177821483346337e+43 21.82616
207.98680772995 63.887393351807 1.0733 1.64425 1.1344474992477425e+45 20.48995
208.1605697661 63.780657051678 0.8257 1.9029 1.5136660963339236e+44 20.39432
